Policy_Id,Policy_Year,Make,Body_Style,Model_Year,Model_Color,Miles_Driven,Driver_Hair_Color,Years_Customer,Accident_Reported
33,2010,Honda,truck,2010,Red,16855,Brown,5,1
34,2014,Honda,suv,2008,Red,10275,Brown,2,0
35,2012,Subaru,sedan,2012,Red,24027,Black,18,0
36,2003,Honda,sedan,2013,Blue,23391,Brown,11,0
37,2017,Honda,truck,2012,Red,11802,Brown,14,0
38,2016,Toyota,sedan,2023,White,11384,Black,9,0
39,2001,Toyota,sedan,2008,White,22983,Brown,20,0
40,2006,Toyota,suv,2001,White,9347,Black,12,0
41,2018,Subaru,truck,2015,Blue,18802,Brown,17,1
42,2017,Honda,truck,2003,Blue,7361,Brown,10,1
43,2016,Toyota,sedan,2023,White,6647,Black,14,0
44,2006,Subaru,suv,2003,White,24119,Black,18,0
45,2016,Subaru,truck,2012,Blue,5373,Brown,12,0
46,2002,Toyota,truck,2012,Blue,6682,Brown,8,0
47,2012,Toyota,sedan,2005,White,16154,Black,17,0
48,2001,Honda,truck,2006,Blue,9098,Black,17,0
49,2002,Toyota,truck,2010,Blue,15993,Brown,19,0
50,2000,Honda,sedan,2001,White,14112,Black,16,0
51,2007,Toyota,sedan,2010,Blue,1315,Brown,20,0
52,2023,Toyota,truck,2014,White,5809,Black,9,0
53,2012,Subaru,suv,2016,Red,6725,Black,4,1
54,2019,Subaru,sedan,2010,White,21731,Black,9,0
55,2003,Honda,truck,2020,White,16145,Brown,13,0
56,2005,Toyota,suv,2012,Blue,4154,Brown,19,0
57,2020,Toyota,truck,2002,White,17152,Black,11,0
58,2020,Toyota,sedan,2017,Blue,8128,Black,4,0
59,2013,Honda,suv,2014,White,14484,Black,13,0
60,2021,Subaru,suv,2013,Blue,12090,Brown,3,0
61,2005,Toyota,suv,2021,Red,16305,Black,13,0
62,2018,Toyota,suv,2020,Red,19098,Black,10,0
63,2007,Honda,sedan,2008,Blue,20424,Brown,3,1
64,2012,Honda,sedan,2000,Blue,2309,Brown,14,0
65,2002,Subaru,sedan,2000,Blue,16015,Brown,1,1
66,2022,Subaru,sedan,2002,Blue,6003,Black,12,0
67,2000,Honda,truck,2017,White,6887,Brown,1,0
68,2014,Honda,truck,2013,Blue,12436,Brown,18,0
69,2005,Honda,suv,2023,White,8667,Black,2,0
70,2021,Subaru,suv,2016,Red,1876,Brown,3,1
71,2021,Toyota,truck,2008,White,23797,Brown,11,1
72,2023,Toyota,suv,2002,White,20018,Brown,9,0
73,2015,Subaru,truck,2023,White,20043,Black,14,0
74,2007,Honda,truck,2002,Blue,20096,Black,7,0
75,2019,Subaru,sedan,2005,Blue,14182,Black,13,0
76,2013,Subaru,truck,2012,White,9187,Black,6,0
77,2001,Toyota,suv,2005,Blue,24310,Brown,8,1
78,2019,Subaru,truck,2013,Blue,22812,Brown,3,0
79,2003,Honda,sedan,2006,Red,13395,Black,3,1
80,2004,Toyota,truck,2014,Red,24835,Brown,3,1
81,2004,Subaru,sedan,2017,White,11669,Brown,18,0
82,2019,Subaru,sedan,2020,Blue,22144,Brown,7,0
83,2016,Toyota,suv,2022,Blue,20176,Black,10,1
84,2014,Honda,suv,2009,White,24090,Brown,3,0
85,2023,Toyota,sedan,2009,Red,13019,Black,12,0
86,2000,Subaru,truck,2021,Red,21269,Brown,6,0
87,2003,Honda,suv,2002,White,22651,Black,14,0
88,2000,Toyota,truck,2007,Blue,14789,Brown,1,1
89,2017,Honda,suv,2004,White,10561,Brown,19,0
90,2017,Honda,truck,2000,Blue,12087,Brown,18,0
91,2005,Toyota,truck,2000,Blue,11300,Black,1,1
92,2023,Toyota,suv,2015,White,22626,Black,6,0
93,2020,Subaru,suv,2007,Red,18571,Black,1,1
94,2016,Subaru,truck,2000,White,14299,Black,20,0
95,2006,Honda,suv,2004,Blue,5892,Brown,15,0
96,2004,Subaru,truck,2000,Blue,14897,Brown,20,0
97,2019,Subaru,suv,2003,White,20076,Brown,1,1
98,2022,Toyota,suv,2021,Red,22235,Brown,8,1
99,2003,Honda,truck,2000,White,5498,Black,5,0
100,2013,Subaru,truck,2013,Blue,6226,Black,11,0
101,2005,Toyota,sedan,2018,Red,6583,Black,18,0
102,2007,Honda,truck,2020,Red,24729,Black,10,1
103,2005,Honda,sedan,2019,White,23571,Brown,14,0
104,2001,Toyota,suv,2015,Blue,20943,Black,7,1
105,2000,Honda,sedan,2000,Red,9044,Brown,6,0
106,2006,Subaru,sedan,2012,Blue,11076,Black,5,0
107,2008,Toyota,truck,2001,White,7184,Black,18,0
108,2019,Subaru,sedan,2008,Blue,18684,Brown,8,1
109,2003,Subaru,suv,2016,Red,22846,Brown,6,0
110,2020,Subaru,suv,2014,Blue,7753,Black,14,0
111,2008,Subaru,sedan,2013,Red,18723,Black,7,1
112,2017,Honda,sedan,2005,Blue,8009,Brown,5,1
113,2020,Subaru,suv,2000,Red,10035,Brown,11,0
114,2020,Toyota,truck,2014,White,9711,Brown,11,0
115,2014,Toyota,truck,2021,Red,2632,Brown,9,1
116,2014,Honda,suv,2009,Red,9424,Brown,4,1
117,2010,Subaru,sedan,2021,Blue,1437,Brown,8,0
118,2008,Toyota,suv,2010,Blue,1331,Brown,20,0
119,2000,Toyota,sedan,2020,Blue,8551,Black,19,0
120,2008,Toyota,sedan,2020,Blue,11731,Brown,5,1
121,2022,Honda,suv,2009,Red,7904,Brown,20,0
122,2000,Honda,truck,2004,White,9581,Brown,1,0
123,2014,Subaru,truck,2022,Red,21541,Black,19,1
124,2002,Subaru,truck,2009,Red,22517,Brown,10,1
125,2005,Honda,suv,2002,Blue,16079,Black,7,1
126,2005,Honda,sedan,2013,White,13492,Black,16,0
127,2004,Honda,truck,2004,Red,8375,Black,8,0
128,2010,Honda,sedan,2018,Red,8232,Black,16,0
129,2010,Subaru,suv,2023,Blue,13328,Brown,6,1
130,2006,Honda,sedan,2012,White,14362,Black,17,1
131,2017,Subaru,sedan,2022,Red,12366,Black,18,0
132,2013,Toyota,sedan,2012,White,17810,Black,18,0
133,2023,Subaru,truck,2017,Red,9452,Black,20,0
134,2018,Honda,truck,2007,Blue,11546,Brown,19,0
135,2020,Honda,truck,2013,Red,14701,Black,2,0
136,2007,Subaru,truck,2023,Blue,5976,Black,12,0
137,2001,Subaru,suv,2020,Red,1318,Black,20,0
138,2008,Honda,truck,2006,Blue,15502,Brown,5,0
139,2004,Toyota,suv,2023,Blue,8207,Black,13,0
140,2001,Subaru,truck,2006,Blue,23824,Black,1,1
141,2019,Honda,suv,2003,White,6464,Brown,7,1
142,2005,Subaru,suv,2009,Red,20820,Black,18,0
143,2023,Subaru,sedan,2022,White,5896,Brown,17,0
144,2014,Toyota,suv,2022,Red,5578,Brown,6,1
145,2001,Honda,truck,2002,White,14515,Black,15,0
146,2023,Toyota,truck,2003,Red,20356,Brown,9,1
147,2014,Toyota,suv,2012,Red,11903,Black,18,0
148,2016,Subaru,truck,2003,Red,8747,Brown,8,1
149,2002,Subaru,suv,2013,White,6974,Brown,8,0
150,2015,Subaru,sedan,2015,White,19548,Black,2,0
151,2021,Subaru,truck,2018,White,5778,Brown,6,0
152,2008,Toyota,sedan,2019,Red,23804,Brown,3,0
153,2018,Subaru,truck,2004,Blue,2476,Brown,18,0
154,2020,Toyota,suv,2016,White,5841,Black,16,0
155,2015,Toyota,truck,2020,Red,5431,Black,6,1
156,2019,Honda,sedan,2013,Red,23835,Black,18,0
157,2005,Toyota,suv,2011,Blue,7105,Black,4,1
158,2022,Toyota,suv,2017,Blue,12427,Black,20,0
159,2016,Toyota,suv,2019,Red,5490,Black,9,0
160,2022,Toyota,sedan,2005,White,7263,Black,12,1
161,2019,Subaru,truck,2009,Blue,17547,Black,2,1
162,2011,Toyota,sedan,2017,Red,21119,Brown,6,0
163,2022,Toyota,suv,2018,Red,12793,Brown,11,0
164,2003,Subaru,suv,2016,White,14256,Black,5,0
165,2009,Subaru,truck,2002,Blue,9179,Black,1,1
166,2020,Honda,sedan,2002,Blue,12176,Black,20,0
167,2007,Toyota,suv,2006,White,2744,Brown,1,0
168,2018,Honda,suv,2019,Red,24995,Black,6,1
169,2023,Subaru,suv,2017,Blue,22785,Black,6,1
170,2019,Honda,sedan,2010,White,13186,Black,3,0
171,2023,Toyota,sedan,2012,Red,10386,Brown,16,0
172,2013,Toyota,suv,2007,Blue,14753,Black,15,0
173,2013,Honda,truck,2005,Red,13757,Brown,4,0
174,2000,Toyota,truck,2018,Blue,22597,Brown,12,0
175,2016,Toyota,sedan,2018,White,11354,Black,16,0
176,2017,Subaru,truck,2000,White,5301,Black,11,1
177,2006,Honda,suv,2007,White,6481,Black,15,0
178,2015,Subaru,suv,2006,Red,12244,Black,13,1
179,2013,Honda,truck,2010,Red,23731,Black,8,1
180,2023,Toyota,suv,2009,Blue,2214,Black,2,0
181,2003,Subaru,truck,2004,Red,5698,Brown,13,0
182,2019,Toyota,truck,2022,Red,17746,Brown,3,1
183,2000,Subaru,suv,2020,Red,5004,Black,8,0
184,2015,Honda,sedan,2023,Blue,15506,Brown,18,0
185,2011,Subaru,sedan,2016,White,14580,Brown,17,0
186,2009,Honda,truck,2016,Red,14852,Black,8,1
187,2005,Subaru,truck,2001,White,1488,Brown,13,0
188,2019,Subaru,truck,2006,Blue,10371,Brown,12,0
189,2014,Honda,truck,2010,White,12431,Brown,8,0
190,2010,Subaru,sedan,2017,Red,24609,Black,10,0
191,2011,Toyota,sedan,2011,Red,21613,Brown,13,1
192,2001,Honda,sedan,2003,White,22114,Black,2,1
193,2021,Toyota,sedan,2013,Blue,3701,Black,6,0
194,2011,Toyota,sedan,2007,White,7397,Brown,4,0
195,2001,Subaru,truck,2006,Blue,3294,Black,1,0
196,2015,Honda,sedan,2014,White,11381,Brown,16,0
197,2006,Subaru,sedan,2000,White,22749,Black,3,0
198,2008,Toyota,sedan,2010,Blue,23942,Black,17,0
199,2001,Toyota,sedan,2000,Red,17515,Black,1,1
200,2023,Toyota,truck,2001,White,15588,Black,8,0
201,2013,Honda,suv,2023,White,21803,Brown,16,0
202,2019,Honda,sedan,2007,Blue,5862,Brown,15,0
203,2004,Subaru,truck,2008,White,13944,Black,15,0
204,2003,Subaru,truck,2023,White,20481,Brown,17,1
205,2004,Honda,sedan,2004,White,1531,Black,2,0
206,2007,Honda,truck,2000,Blue,20309,Brown,13,1
207,2013,Toyota,suv,2017,Red,18813,Brown,10,0
208,2021,Honda,truck,2008,Red,23812,Brown,3,1
209,2016,Subaru,suv,2001,White,13820,Brown,19,0
210,2010,Honda,sedan,2014,White,21336,Black,3,0
211,2007,Toyota,truck,2007,Blue,19823,Black,5,1
212,2000,Toyota,truck,2018,White,10796,Brown,20,0
213,2000,Subaru,sedan,2020,Blue,7631,Brown,1,1
214,2017,Toyota,sedan,2002,White,13015,Black,5,0
215,2019,Subaru,sedan,2016,Red,1245,Black,6,0
216,2000,Subaru,sedan,2017,Red,23681,Brown,7,0
217,2013,Subaru,suv,2022,White,20580,Black,19,0
218,2017,Honda,suv,2011,Red,21648,Black,17,0
219,2000,Subaru,sedan,2003,Red,2463,Black,18,1
220,2008,Subaru,truck,2001,Blue,10759,Black,5,0
221,2015,Honda,truck,2018,Blue,4451,Brown,20,0
222,2000,Toyota,truck,2018,Blue,1900,Black,10,0
223,2006,Toyota,suv,2013,Blue,24689,Black,19,1
224,2022,Toyota,suv,2019,White,17884,Brown,10,0
225,2013,Subaru,suv,2007,Red,6202,Black,3,0
226,2019,Honda,truck,2016,White,4691,Black,1,1
227,2018,Subaru,truck,2009,Blue,9373,Brown,5,0
228,2016,Subaru,sedan,2004,White,3623,Black,18,0
229,2023,Honda,truck,2016,Blue,12874,Brown,8,0
230,2006,Subaru,suv,2001,Blue,3758,Brown,9,1
231,2023,Honda,sedan,2015,Red,24442,Black,17,0
232,2010,Toyota,sedan,2008,Blue,15292,Black,17,1
233,2016,Honda,suv,2021,Red,3321,Black,12,0
234,2023,Toyota,sedan,2013,Blue,20991,Brown,19,0
235,2006,Subaru,suv,2004,Blue,6577,Brown,17,1
236,2010,Subaru,suv,2007,Red,7459,Brown,12,0
237,2021,Subaru,truck,2016,White,8055,Black,10,0
238,2007,Toyota,suv,2016,White,23560,Brown,16,0
239,2014,Toyota,suv,2004,Blue,18139,Black,14,0
240,2021,Toyota,truck,2018,White,12715,Brown,1,0
241,2006,Subaru,suv,2016,Red,11005,Brown,20,0
242,2018,Subaru,truck,2014,White,11921,Brown,12,0
243,2014,Subaru,truck,2008,Red,11243,Brown,12,0
244,2006,Toyota,truck,2010,White,12749,Brown,19,0
245,2016,Honda,suv,2013,Blue,1124,Brown,2,0
246,2017,Subaru,truck,2004,Blue,16249,Black,6,0
247,2003,Toyota,truck,2013,Blue,21774,Black,2,1
248,2001,Toyota,suv,2021,Red,12083,Brown,13,0
249,2011,Toyota,suv,2007,Blue,17734,Brown,4,1
250,2010,Honda,sedan,2000,White,21992,Black,15,0
251,2021,Subaru,sedan,2022,Red,11268,Black,12,0
252,2005,Toyota,sedan,2015,Blue,17717,Black,16,0
253,2009,Subaru,truck,2007,Red,11640,Brown,2,1
254,2002,Honda,truck,2018,Blue,15202,Brown,10,1
255,2011,Toyota,truck,2015,Blue,2485,Brown,4,0
256,2022,Subaru,truck,2007,White,16999,Black,14,0
257,2017,Honda,sedan,2004,White,10456,Black,17,0
258,2000,Subaru,truck,2021,Red,3852,Brown,12,0
259,2019,Toyota,sedan,2020,Blue,11785,Brown,16,0
260,2008,Subaru,suv,2009,Blue,15251,Black,17,0
261,2019,Honda,truck,2020,Red,5650,Brown,5,0
262,2006,Honda,truck,2000,Blue,18438,Black,15,1
263,2004,Honda,truck,2017,Red,17860,Brown,2,0
264,2011,Toyota,suv,2015,Red,21601,Black,6,0
265,2021,Honda,suv,2016,Red,19138,Brown,15,0
266,2009,Toyota,sedan,2020,Red,8252,Brown,8,0
267,2006,Honda,truck,2005,White,1716,Black,8,0
268,2021,Subaru,suv,2012,Red,10341,Black,12,0
269,2022,Honda,truck,2022,Red,14773,Black,8,1
270,2018,Subaru,suv,2008,Blue,8030,Black,11,0
271,2007,Toyota,sedan,2018,Blue,5364,Brown,5,1
272,2016,Subaru,suv,2003,White,22627,Black,17,0
273,2008,Honda,truck,2010,Blue,23143,Brown,4,0
274,2005,Honda,sedan,2017,Blue,18562,Brown,9,1
275,2012,Subaru,sedan,2009,Red,19310,Brown,13,0
276,2001,Honda,suv,2006,White,23250,Brown,6,0
277,2018,Subaru,sedan,2014,White,20662,Black,13,0
278,2009,Toyota,truck,2004,Red,9999,Brown,8,0
279,2003,Subaru,sedan,2012,Blue,10686,Brown,13,0
280,2014,Honda,truck,2020,Red,16872,Brown,10,0
281,2022,Toyota,sedan,2014,White,9749,Brown,14,0
282,2004,Subaru,suv,2023,Blue,4121,Black,13,0
283,2016,Honda,suv,2008,Blue,24028,Brown,12,0
284,2007,Toyota,suv,2019,Red,9822,Black,17,0
285,2008,Honda,truck,2007,Blue,8245,Brown,8,0
286,2003,Toyota,sedan,2015,Red,10518,Brown,4,0
287,2008,Toyota,truck,2004,Red,12781,Black,3,0
288,2009,Toyota,sedan,2018,White,21136,Black,14,0
289,2022,Subaru,truck,2001,Red,6350,Black,2,1
290,2019,Toyota,suv,2003,White,9108,Brown,3,0
291,2009,Toyota,truck,2007,Blue,15926,Black,2,0
292,2013,Honda,truck,2011,White,9286,Black,16,0
293,2003,Honda,sedan,2005,Red,2975,Brown,18,0
294,2009,Toyota,sedan,2001,Red,6509,Black,7,0
295,2018,Subaru,truck,2012,Red,20471,Black,7,1
296,2001,Honda,sedan,2011,Red,12508,Black,18,0
297,2019,Subaru,suv,2014,White,2787,Brown,18,0
298,2009,Toyota,suv,2022,Blue,23848,Black,14,0
299,2006,Honda,sedan,2001,Blue,12417,Black,2,0
300,2005,Honda,sedan,2006,Red,23095,Black,17,0
301,2018,Honda,sedan,2004,White,12787,Brown,10,0
302,2015,Toyota,sedan,2011,White,24526,Brown,20,0
303,2021,Toyota,sedan,2021,Red,22597,Black,6,1
304,2018,Toyota,suv,2012,Blue,11125,Brown,5,0
305,2002,Honda,sedan,2011,Blue,13654,Brown,20,1
306,2003,Subaru,suv,2004,Red,3102,Brown,19,0
307,2017,Subaru,suv,2009,White,5756,Brown,20,0
308,2016,Toyota,truck,2005,White,17007,Black,1,0
309,2023,Toyota,sedan,2005,Blue,16744,Brown,9,1
310,2018,Toyota,sedan,2000,Blue,2760,Black,14,0
311,2007,Toyota,sedan,2001,Red,6338,Black,15,0
312,2018,Honda,sedan,2014,Blue,2349,Brown,1,0
313,2010,Toyota,truck,2016,White,3141,Black,20,0
314,2020,Subaru,suv,2003,White,20924,Black,11,0
315,2008,Subaru,truck,2020,Blue,1875,Brown,17,0
316,2009,Toyota,truck,2015,White,17071,Black,20,0
317,2004,Honda,truck,2020,Blue,15116,Black,19,0
318,2017,Honda,truck,2018,Red,24810,Brown,15,0
319,2020,Subaru,sedan,2010,Red,5738,Brown,2,1
320,2010,Toyota,truck,2012,Red,24448,Black,3,0
321,2013,Subaru,truck,2013,Red,16670,Black,11,0
322,2007,Subaru,suv,2009,Red,3595,Brown,18,0
323,2003,Toyota,truck,2002,Blue,2779,Black,20,1
324,2022,Honda,suv,2019,White,12478,Black,17,0
325,2004,Toyota,sedan,2018,White,9974,Brown,6,0
326,2015,Honda,sedan,2013,Red,2060,Brown,13,0
327,2008,Toyota,sedan,2023,Blue,9910,Brown,4,1
328,2021,Subaru,truck,2001,Blue,16050,Black,18,0
329,2006,Honda,truck,2009,Red,4096,Brown,2,0
330,2014,Toyota,suv,2016,Red,10591,Black,20,0
331,2009,Toyota,sedan,2010,Red,4613,Black,4,1
332,2000,Subaru,suv,2015,White,21251,Black,12,0
333,2010,Honda,sedan,2007,Blue,21085,Black,13,0
334,2014,Toyota,truck,2001,White,5155,Black,6,0
335,2022,Subaru,truck,2000,Blue,9137,Brown,6,0
336,2014,Toyota,sedan,2006,Blue,19812,Brown,19,0
337,2011,Toyota,truck,2006,Red,20276,Brown,1,1
338,2016,Subaru,sedan,2001,Red,16540,Black,19,0
339,2019,Honda,sedan,2012,Red,7451,Brown,13,0
340,2022,Toyota,truck,2013,Blue,15584,Brown,14,0
341,2006,Subaru,suv,2003,Red,22614,Brown,9,0
342,2003,Toyota,suv,2008,Red,15700,Brown,4,0
343,2015,Subaru,truck,2022,Blue,12007,Black,18,0
344,2004,Toyota,sedan,2019,Red,15917,Black,19,0
345,2023,Honda,truck,2012,Red,22588,Brown,17,0
346,2005,Subaru,truck,2002,White,5852,Black,13,0
347,2020,Subaru,suv,2003,Blue,12937,Black,14,0
348,2005,Subaru,suv,2014,Red,24049,Black,1,1
349,2019,Subaru,suv,2019,White,20644,Brown,18,0
350,2001,Honda,sedan,2005,Blue,12853,Brown,7,1
351,2018,Subaru,sedan,2000,White,2114,Black,2,1
352,2001,Honda,sedan,2019,Blue,17658,Black,18,0
353,2014,Honda,truck,2001,Blue,21529,Brown,5,1
354,2016,Subaru,sedan,2016,Blue,20105,Black,14,0
355,2015,Subaru,sedan,2016,Blue,22630,Black,19,0
356,2010,Honda,sedan,2008,Red,2315,Brown,14,0
357,2012,Honda,sedan,2023,Blue,10526,Black,10,1
358,2006,Subaru,truck,2013,Blue,8557,Brown,10,0
359,2022,Toyota,truck,2008,Red,4725,Brown,1,0
360,2019,Honda,suv,2022,White,17234,Black,6,1
361,2012,Toyota,truck,2018,Blue,18771,Brown,15,1
362,2002,Subaru,truck,2000,Red,6515,Brown,1,0
363,2004,Honda,truck,2008,Red,10153,Brown,4,1
364,2008,Honda,sedan,2010,Blue,11807,Brown,12,0
365,2009,Toyota,sedan,2013,Red,13909,Brown,10,0
366,2003,Toyota,sedan,2012,Blue,13805,Black,1,1
367,2010,Subaru,sedan,2000,Red,20908,Black,1,0
368,2005,Honda,sedan,2019,Red,1420,Brown,4,0
369,2001,Toyota,suv,2004,Red,20155,Black,5,0
370,2015,Subaru,sedan,2018,White,5793,Brown,8,0
371,2010,Toyota,sedan,2019,White,19354,Brown,10,0
372,2007,Subaru,suv,2021,Blue,20908,Black,16,0
373,2011,Subaru,suv,2001,Blue,20283,Brown,5,0
374,2003,Toyota,suv,2023,Red,14947,Brown,18,0
375,2005,Honda,truck,2014,White,11676,Brown,18,0
376,2009,Toyota,sedan,2009,Blue,18185,Brown,7,1
377,2001,Honda,truck,2000,Red,6912,Black,19,0
378,2006,Subaru,truck,2012,Red,5851,Black,1,1
379,2003,Subaru,sedan,2011,White,4953,Black,16,1
380,2006,Subaru,truck,2001,Red,16480,Brown,19,1
381,2022,Toyota,truck,2006,Red,11905,Brown,13,0
382,2012,Subaru,truck,2018,Red,9437,Brown,10,0
383,2010,Subaru,sedan,2009,White,13015,Black,16,0
384,2011,Toyota,truck,2000,Blue,12990,Brown,4,1
385,2003,Subaru,truck,2003,Blue,2665,Brown,11,0
386,2009,Honda,truck,2007,Blue,2968,Brown,8,1
387,2002,Honda,truck,2010,Red,23270,Brown,19,0
388,2009,Subaru,sedan,2000,Blue,3061,Brown,18,0
389,2005,Honda,suv,2005,Red,7165,Brown,15,1
390,2006,Subaru,suv,2002,White,12147,Black,10,0
391,2013,Toyota,suv,2007,Red,8142,Brown,9,1
392,2000,Subaru,truck,2020,Red,24913,Black,19,1
393,2009,Toyota,truck,2016,Red,13776,Brown,17,0
394,2022,Honda,truck,2002,Red,20202,Brown,18,1
395,2001,Honda,suv,2018,Red,9583,Black,10,0
396,2001,Toyota,suv,2012,Blue,1843,Brown,20,0
397,2011,Subaru,suv,2008,Red,21653,Brown,4,1
398,2007,Honda,suv,2012,White,3532,Brown,3,1
399,2000,Subaru,suv,2020,Blue,24699,Brown,11,0
400,2007,Toyota,suv,2014,Blue,5036,Brown,14,0
401,2003,Subaru,suv,2022,Blue,8090,Black,3,0
402,2016,Toyota,truck,2001,White,9538,Brown,12,0
403,2022,Toyota,truck,2015,Blue,7051,Brown,19,0
404,2008,Toyota,sedan,2022,Red,6738,Black,10,0
405,2018,Subaru,sedan,2022,Red,5009,Brown,7,0
406,2001,Subaru,truck,2013,White,10762,Brown,15,0
407,2018,Honda,sedan,2014,Blue,14701,Black,8,0
408,2017,Toyota,suv,2006,Blue,17875,Black,17,0
409,2003,Subaru,suv,2022,White,23143,Brown,6,1
410,2006,Subaru,suv,2017,White,10311,Black,7,1
411,2001,Subaru,truck,2005,Red,18172,Black,20,1
412,2015,Toyota,suv,2020,Red,23406,Brown,4,0
413,2005,Subaru,suv,2004,Blue,2063,Brown,10,0
414,2010,Toyota,truck,2018,White,4141,Brown,3,0
415,2010,Subaru,truck,2007,Red,18779,Brown,9,1
416,2020,Honda,suv,2002,Red,13737,Brown,4,1
417,2021,Subaru,sedan,2021,Red,13173,Brown,12,0
418,2018,Honda,suv,2013,Red,22123,Brown,10,0
419,2004,Toyota,suv,2021,White,13687,Black,14,0
420,2002,Honda,truck,2016,White,17772,Black,13,1
421,2009,Honda,truck,2023,White,18635,Brown,16,1
422,2019,Honda,truck,2013,White,6474,Brown,8,1
423,2011,Toyota,truck,2007,Blue,1980,Black,19,0
424,2011,Honda,suv,2003,Blue,16920,Brown,3,1
425,2002,Subaru,sedan,2017,Red,20987,Brown,3,1
426,2001,Subaru,sedan,2004,White,3685,Brown,8,1
427,2006,Honda,suv,2020,White,3242,Black,9,0
428,2014,Honda,suv,2013,White,20560,Brown,15,0
429,2010,Toyota,truck,2011,White,2406,Brown,20,1
430,2022,Toyota,truck,2003,Blue,1307,Black,20,0
431,2001,Toyota,suv,2004,Blue,6840,Brown,14,0
432,2020,Toyota,truck,2016,White,23350,Black,6,1
433,2016,Subaru,suv,2014,White,12903,Black,3,0
434,2023,Subaru,suv,2006,Red,12443,Black,7,1
435,2021,Subaru,truck,2001,Blue,1199,Brown,16,0
436,2003,Toyota,sedan,2017,White,17454,Black,17,0
437,2019,Honda,truck,2006,White,1665,Black,11,0
438,2019,Honda,truck,2014,Red,20563,Black,6,1
439,2021,Honda,suv,2011,White,20607,Brown,5,0
440,2009,Toyota,sedan,2007,Blue,11123,Black,17,0
441,2016,Honda,truck,2009,White,5584,Brown,17,0
442,2007,Toyota,truck,2021,Blue,1127,Brown,12,1
443,2018,Honda,truck,2021,White,22936,Brown,3,1
444,2011,Honda,truck,2015,White,1769,Brown,14,0
445,2009,Honda,truck,2002,Blue,6596,Brown,18,0
446,2004,Toyota,truck,2007,Blue,2886,Black,17,0
447,2002,Toyota,sedan,2010,Blue,6454,Black,14,0
448,2014,Honda,truck,2021,White,10416,Brown,4,0
449,2004,Subaru,suv,2022,Blue,11501,Brown,20,0
450,2022,Honda,truck,2008,Red,8986,Brown,9,0
451,2012,Toyota,sedan,2012,Blue,19378,Black,13,0
452,2001,Toyota,truck,2011,Red,12733,Brown,16,0
453,2003,Subaru,sedan,2002,Blue,17723,Brown,9,1
454,2004,Subaru,sedan,2007,Red,12384,Black,17,0
455,2005,Subaru,truck,2007,White,4393,Brown,6,1
456,2012,Toyota,sedan,2002,Blue,7961,Brown,13,0
457,2021,Toyota,sedan,2004,White,4241,Brown,13,0
458,2006,Subaru,sedan,2022,Blue,9653,Black,17,0
459,2006,Subaru,suv,2006,White,18925,Black,15,0
460,2023,Subaru,truck,2005,Blue,17522,Black,2,1
461,2004,Honda,suv,2011,Red,11389,Brown,2,0
462,2019,Honda,sedan,2006,White,18005,Black,6,1
463,2011,Honda,sedan,2001,Red,5618,Brown,10,0
464,2000,Subaru,suv,2006,White,3130,Brown,14,0
465,2020,Honda,suv,2016,Red,19945,Brown,11,0
466,2016,Toyota,truck,2021,Red,18593,Black,6,1
467,2006,Toyota,suv,2002,White,16837,Black,9,1
468,2023,Subaru,suv,2013,White,13092,Black,3,0
